source,product_title,product_description,product_spec,product_price,product_nuc
amazon,Ar Condicionado Split Inverter Philco 9000 BTUs Quente/Frio 220V PAC9000ITQFM9W,"Ar Condicionado Split Inverter Philco 9000 BTUs Quente/Frio 220V PAC9000ITQFM9W O Ar Condicionado Split Inverter Philco 9000 BTUs Quente/Frio 220V é a escolha perfeita para quem busca conforto em todas as estações do ano. Com a tecnologia Inverter, o aparelho ajusta automaticamente a velocidade do compressor de acordo com a temperatura do ambiente, proporcionando uma economia de até 60% no consumo de energia elétrica. Com capacidade de 9000 BTUs, é indicado para ambientes de pequeno porte, como quartos e salas. Sua função quente/frio permite que o aparelho possa ser utilizado tanto no verão quanto no inverno, mantendo o ambiente agradável em todas as épocas. Especificações técnicas: - Marca: Philco - Modelo: PAC9000ITQFM9W - Voltagem: 220V - Cor: Branco - Potência: 1080W - Serpentina: Cobre - Consumo: 15,9 kWh - Ciclos de ar: Quente e Frio - Capacidade: 9000 BTU/h. - Gás Ecológico: R410a - Pintura anti-corrosiva: Sim - Classe ""A"" em eficiência energética: Sim - Controle de temperatura digital: (16°C a 32°C) - Modo de operação: Esfriar, Aquecer, Desumidificar, Ventilar e Automático - Função: Dormir, Oscilar, Timer - Controle de Ventilação: (Auto, Médio, Baixo e Automático) - Vazão de ar máxima: 500 m³/h - Potência sonora unidade interna: 40 dB (A) - Potência sonora unidade Externa: 55 dB (A) - Tubulação para conexão: 1/4” e 3/8” - Compressor rotativo: Sim - Possui filtro de ar anti-bactéria, anti-fungos: sim - Fácil limpeza do painel e filtro: Sim - Disponível na tensão 220V/60Hz - Possibilidade de instalação do kit wifi: Sim - Possibilidade de instalação do kit protect: Sim - Dimensões da Unidade Interna (LxAxP): 72x27x20,1cm - Dimensões da Unidade Externa (LxAxP): 37,5x55,4x43cm - Dimensões da Embalagem da Unidade Interna (LxAxP): 79,3x30,7x23cm - Dimensões da Embalagem da Unidade Externa (LxAxP): 51x57x46cm - Peso Unidade Interna: 7 kg - Peso Unidade Externa: 19 kg - Peso Unidade Interna Embalada: 11kg - Peso Unidade Externa Embalada: 22 kg - Garantia: 12 meses",Nome da marca PHILCO Informações do modelo PAC9000ITQFM9W Dimensões da embalagem 57 x 51 x 46 cm; 22 Quilogramas Características especiais Compressor inverter Peso 22 Quilogramas Número do modelo PAC9000ITQFM9W ASIN B08W6B4QZ8,1999.00,123579003
amazon,Ar Condicionado Split LG 9000 BTUs Dual Inverter Voice Quente/Frio 220V S4-W09AA31B,"Ar Condicionado Split LG 9000 BTUs Dual Inverter Voice Quente/Frio 220V S4-W09AA31B Proporcionando uma experiência térmica muito mais confortável aos seus ambientes, o Split LG Dual Inverter Voice possui balanceamento de rotor duplo no seu compressor LG Dual Inverter o que reduz o número de partidas do compressor garantindo até 70% de economia de energia. Graças ao seu amplo controle de velocidade, consegue atingir a temperatura desejada até 40% mais rápido, mantendo-a estável, diferente dos modelos convencionais, não inverter onde ocorre flutuação.  Muito mais estável e seguro! Sendo perfeito para seu sono, possui sistema de ventilação de alta precisão, oferecendo menor nível de ruído a partir de 19 decibéis. Mais silencioso que uma biblioteca! Além disso conta com a função Comfort Sleep, que permite ajuste de 4 funções automáticas em um clique, proporcionando o controle térmico do ambiente durante todo o seu período de sono. Muito mais moderno e prático, o LG Dual Inverter Voice permite que você acesse o controle remoto de qualquer lugar em qualquer hora. O LG ThinQ permite que você possa controlar o seu ar condicionado antes mesmo de chegar em casa utilizando o comando de voz associado ao Google Assistente ou Alexa. Conectividade para melhor a sua rotina!  Pensando exclusivamente para você, proporciona melhor qualidade do ar no ambiente, utilizando o filtro Dual Filter, é capaz de filtrar micro partículas de poeira. Deixando seu ambiente ainda mais confortável e agradável, possui com a função Auto Cleaning, que impede a formação de bactérias e mofo interior do ar condicionado.  Ainda conta com Serpentina de cobre e aletas com acabamento Gold Fin, que proporcionam mais resistência e vida útil contra a corrosão. Possui 6 posicionamentos de vane pré-definidos para ajustar a direção ideal do jato de ar. Feito para você com a qualidade LG. Garantia: 12 meses. Cor: Branco.","Marca LG Número da peça B0BD5LWK5W Características especiais Controlado Remotamente, Compressor inverter Tipo de fonte de energia Elétrico com fio Número de portas 3 Peso do produto 27,5 Kilograms Referência do fabricante B0BD5LWK5W EAN 8806091763488 Dimensões da embalagem 83,7 x 53,1 x 33,2 cm; 27,5 Quilogramas",2149.00,123579003
amazon,Ar Condicionado Split Samsung Digital Inverter Ultra 9000 Btus Frio 220var09bvhzcwkxaz,"Especificações Técnicas: Marca: Samsung Modelo Unidade Interna: AR09BVHZCWKNAZ Modelo Unidade Externa: AR09BVHZCWKXAZ Voltagem: 220V Tipo: Ar Condicionado Split Inverter Ultra Ciclo: Frio Cor: Branco Capacidade Mínima: 2300 Capacidade Máxima: 10000 Capacidade Nominal: 9K Btu/h Potência: 1000W Consumo de Energia: 364kwh/mês Eficiência Energética: 6W/W Classificação Energética: A Filtro: Easy Filter Plus Economia de Até: 73% Gás Refrigerante: R410 Resfriamento Rápido: Sim Autoclean: Sim Garantia Compressor: 10 anos Modo Sleep: Sim Serpentina de Cobre: Sim Design Simples: Sim Nível de Ruído Unidade Interna/Externa: 38/22/47 Tipo Serpentina: Cobre Tipo Condensadora: Plástico Velocidades: Fan/Eco/Auto Função Swing: 2 direções Modo de Operação: Auto/Cool/Fan/Dry Corrente de Refrigeração: 4.8 Carga de Gás: 0.5 Desnível: 8m Distância: 15m Wind Free: Não Controle Remoto: Sim Timer: Sim Ionizador Care: Não Modo Dry: Sim Energy Saving: Sim Tecnologia Turbo: Sim Proteção Anticorrosão: Sim Direcionador Vertical: Sim Dimensões da Unidade Interna (AxLxP): 29,9x82 x 21,5cm Dimensões da Unidade Externa (AxLxP): 47,5x66x24,2cm Dimensões da Embalagem da Unidade Interna (AxLxP): 29x88x37,5cm Dimensões da Embalagem da Unidade Externa (AxLxP): 55x77,8x33,1cm Peso Líquido Unidade Interna: 8,9kg Peso Líquido Unidade Externa: 19,1kg Peso Bruto Unidade Interna: 10,2kg Peso Bruto Unidade Externa: 20,8kg Garantia: 12 meses","Peso do produto 20,8 Quilogramas Voltagem 220 Volts Marca SAMSUNG Dimensões da embalagem 77,8 x 55 x 33,1 cm; 20,8 Quilogramas EAN 7892509124942",1899.00,123579003
amazon,Ar-Condicionado Split HW Philco PAS9500FA1 9.000 BTUs Só Frio 220V,"Ar-Condicionado Split HW Philco 9.000 BTUs Só Frio 220V Para refrescar o ambiente com qualidade e potência o Ar Condicionado Philco 9000Btus PAS9500FA1 é perfeito! Ele é compacto, com unidade externa em formato top discharge, otimização de espaço na instalação. Unidade interna perfeita para dar aquele charme de ambiente bem cuidado, combina com tudo. Design Compacto, ocupa menor espaço para instalação. Conheça mais vantangens: Gás Ecológico R410-A Classe ""A"" em eficiência energética Controle de temperatura digital (16°C a 32°C) Função: Sleep, Swing, Timer Controle de Ventilação (Auto, Médio, Baixo e Automático) Possui filtro de ar anti-bactéria, anti-fungos. Fácil limpeza do painel e filtro - Instalação não inclusa!",Nome da marca PHILCO Dimensões do produto 27 x 72 x 20 cm; 38 g Número da Peça 96662265 | 96662264 Peso 38 Gramas Fabricante Philco Referência do fabricante 96662265 | 96662264 ASIN B0BZFXSWDV,1429.00,123579003
amazon,Ar Condicionado Split High Wall Springer Midea Airvolution Só Frio 9000 Btus 42tfca09s5 220v 220v,"O Ar-Condicionado Springer Midea AirVolution é uma ótima solução para quem procura economia, praticidade e conforto térmico. O AirVolution é um aparelho de baixo consumo, pois possui Classificação A de Energia (Selo Procel) nas capacidades de 9.000 a 22.000 BTU/h, e fluido refrigerante ecológico R-410A não inflamável, atóxico e que não agride a camada de Ozônio. Suas funções facilitam sua operação e o dia a dia, como o aviso limpa e troca filtro, que informa a necessidade de manutenção, a função Siga-me, onde a temperatura programada atinge o local onde está o controle remoto* e o modo Não Perturbe, que desliga os LEDs da unidade interna e os sinais sonoros, tudo isso para promover o seu bem-estar e conforto onde estiver. Disponível nas versões 9, 12, 18, 22 e 30 mil BTU/h, Frio e Quente/Frio. *Até 8 metros dentro do mesmo ambiente. Baixo Consumo de Energia : Classificação A de economia (Selo Procel) nas capacidades de 9.000 a 22.000 BTU/h. Filtro com Íons de Prata, que reduz significantemente a presença de bactérias, incluindo bacilos coliformes. Aviso Limpa e Troca Filtro: o aparelho realiza uma contagem de horas de funcionamento, assim, quando é hora de limpar ou trocar os filtros a unidade interna (evaporadora) emite um sinal luminoso em um dos leds. Os Leds indicam também o funcionamento das principais funções. Modo não perturbe: desliga as luzes dos leds e sinais sonoros do aparelho. Função siga-me: temperatura programada atinge o local onde está o controle remoto - até 8 metros dentro do mesmo ambiente. Modo conforto: proporciona maior conforto térmico, mantendo a temperatura do ambiente em 23°C com velocidado do ventilador automática, evitando o desperdício de energia. Timer Fácil: programe seu ar-condicionado para ligar e desligar no horário desejado, com uma programação simples. Modo Super: esta função faz com que a unidade opere em sua capacidade máxima até atingir a temperatura configurada no controle remoto. Função oscilar que ativa o movimento automáti","Nome da marca Midea Dimensões do produto 47 x 78 x 59,4 cm; 22,5 Quilogramas Capacidade 14,8 Kilograms Número da Peça 42TFCA09S5 Características especiais Controlado Remotamente Voltagem 220 Volts Peso 22,5 Quilogramas Fabricante Midea Referência do fabricante 42TFCA09S5 ASIN B091J66SLT",1688.99,123579003
amazon,Ar-condicionado Split 9000 Btus Consul High Wall Só Frio com Serpentina de Cobre Cbn09dbbna/cbo09dbbna 220v,"O Ar Condicionado Split Consul Convencional com Serpentina de Cobre e revestimento Gold Fin economiza até 35% de energia com um clique, basta acionar a função +Econômico em seu controle. Ele é mais silencioso que uma biblioteca, com alta performance de refrigeração, que garante menos turbulência do ar e menor ruído. Além disso, possui garantia de 1 ano no produto e 3 anos no compressor, mesmo instalando com terceiros, desde que siga o processo descrito no manual que acompanha o produto.","Nome da marca Consul Informações do modelo CBN09DBBNA / CBO09DBBNA Dimensões da embalagem 66 x 55 x 50,5 cm; 31 Quilogramas Voltagem 220 Volts Peso 31 Quilogramas Fabricante Consul Número do modelo CBN09DBBNA / CBO09DBBNA ASIN B0CDNQ24F6",1556.10,123579003
amazon,Ar-Condicionado Split HW LG Dual Inverter Voice 9000 BTUs Só Frio 220V,"Ar-Condicionado Split LG Dual Inverter Voice 9.000 BTUs Frio Os equipamentos de climatização estão ficando cada vez mais tecnológicos, facilitando o seu uso e a sua rotina. O ar-condicionado split LG dual inverter voice 9.000 BTUs é ideal para quem quer refrescar os ambientes menores com mais conforto e bem-estar. Venha saber sobre todas as suas inovações e conhecer mais sobre esse modelo de ar-condicionado! Vantagens do ar-condicionado split LG dual inverter voice 9.000 BTUs Além de contar com toda a confiança e qualidade da marca LG, o ar-condicionado possui algumas funções como: muitas possibilidades de posicionamento da vane, que permite mais ajuste na direção ideal do ar para o ambiente; aletas com tecnologia Gold Fin e serpentina de cobre, itens duráveis e de qualidade que estendem a vida útil do produto; quatro modos para a sua escolha como refrigeração, ventilação, desumidificação e automático; função auto cleaning, que impede a formação de mofo e bactérias no interior do aparelho; função comfort sleep , que ajusta até quatro diferentes funções automáticas em um único clique, para uma noite de sono mais confortável. Controle por voz para mais praticidade O controle de voz é uma grande ferramenta para quem quer mais comodidade e praticidade no dia a dia. Graças a essa função, por meio de uma assistente virtual, como o Google Assistente e Alexa, você pode controlar diversas funções e garantir mais segurança e conforto. A tecnologia permite, portanto, um controle à distância do seu equipamento, com segurança e fácil acesso. O aplicativo exclusivo da marca permite que você controle diversos aparelhos LG em um único local, inclusive o seu ar-condicionado split 9.000 BTUs inverter voice. Com o app, é possível acompanhar o funcionamento, consumo de energia e status de limpeza de filtros de maneira mais clara e objetiva, no seu smartphone. Muito silencioso em seu funcionamento Outra facilidade da tecnologia inverter presente no ar-condicionado split LG dual voice 9.","Nome da marca LG Dimensões do produto 1 x 1 x 1 cm; 44 g Número da Peça S4UQ09AA31B.EB2GAMZ | S4NQ09AA31B.EB2GAM Características especiais Desumidificador, Compressor inverter Peso 44 Gramas Fabricante LG Referência do fabricante S4UQ09AA31B.EB2GAMZ | S4NQ09AA31B.EB2GAM ASIN B0BSNYVKTP",2037.12,123579003
amazon,Ar-condicionado Split Inverter 9000 Btus Samsung Ultra High Wall Só Frio Ar09cvhzawknaz/ar09cvhzawkxaz 220v,"Ar-Condicionado Split Inverter 9000 BTUs Samsung Ultra High Wall Só Frio AR09CVHZAWKNAZ/AR09CVHZAWKXAZ 220V. O Ar-Condicionado Split Inverter Samsung Ultra High Wall proporciona conforto e eficiência energética incomparáveis. Com a tecnologia Digital Inverter Ultra, oferece até 73% de economia de energia, climatizando ambientes até 43% mais rápido que modelos convencionais. Equipado com um potente filtro antibacteriano, garante um ar mais limpo e saudável. Seu design discreto e funcionamento silencioso se adaptam perfeitamente a qualquer espaço. Invista no seu conforto e bem-estar com essa opção que une tecnologia avançada e eficiência energética.","Nome da marca SAMSUNG Informações do modelo AR09CVHZAWKNAZ / AR09CVHZAWKXAZ Dimensões da embalagem 88 x 70,6 x 55 cm; 31 Quilogramas Voltagem 220 Volts Peso 31 Quilogramas Fabricante Samsung Número do modelo AR09CVHZAWKNAZ / AR09CVHZAWKXAZ ASIN B0CFHFN6L9",1799.00,123579003
amazon,Ar Condicionado Split High Wall Philco Só Frio 9000 Btus Pas9500fa1 220v,"Ar Condicionado Split Hi Wall Philco 9000 BTU/h Frio Monofásico PAS9500FA1– 220 Volts Gás Ecológico R410a: Não inflamável, Atóxico e menos nocivo à camada de ozônio. Botão de emergência: A unidade por ser iniciada manualmente, sem a necessidade do controle remoto. Auto Restart: Após Queda de Energia o aparelho memoriza as configurações e automaticamente retorna a elas após a energia ser restaurada. Função Sleep: Deixa a temperatura do ambiente mais confortável durante a noite. Função Swing: Funcionamento automático das aletas proporcionando melhor distribuição do ar ao ambiente. Função Timer: Pode ser programado para iniciar e parar a qualquer momento dentro de um período de 24 horas. Ciclos de ar Frio. Capacidade de refrigeração 9000 BTU/h. Gás Ecológico R410a. Classe ""A"" em eficiência energética. Controle de temperatura digital (16°C a 32°C). Modo de operação: Cool, Dry, Fan. Função: Sleep, Swing, Timer. Controle de Ventilação (Auto, Médio, Baixo e Automático). Vazão de ar máxima: 500 m³/h. Potência sonora unidade interna: 40 dB (A). Potência sonora unidade Externa: 55 dB (A). Tubulação para conexão: 1/4” e 3/8”. Compressor rotativo. Possui filtro de ar anti-bactéria, antifungos. Fácil limpeza do painel e filtro. Disponível na tensão 220V/60Hz. Imagem Meramente Ilustrativa.","Nome da marca PHILCO Dimensões da embalagem 81,7 x 79,3 x 57 cm; 33 Quilogramas Peso 33 Quilogramas ASIN B0BH5C9D5G",1529.10,123579003
amazon,Ar Condicionado Split Inverter 9000 BTUs Frio TCL Mod 02 220v,"Ar Condicionado Split Hi Wall TCL Inverter 9.000 Btus Frio 220v 2 anos de garantia Refrigeração até 50% mais rápida Auto limpeza Filtro HD Silver Ion + Carvão ativado Modo Silêncio Filtro HD Silver Ion + Carvão ativado = Retém partículas de poluentes e ajuda na eliminação de odores e poeira, tornando o ar ambiente mais limpo e saudável. Auto Limpeza = Previne a formação de mofo e bactérias na unidade, secando a serpentina interna para melhor qualidade do ar. Serpentina de cobre = Maior resistência e durabilidade da unidade externa, especialmente em ambientes salinos, prolongando a vida útil do aparelho. 24 Meses de garantia = Válido apenas para instalação com um técnico credenciado. A ativação da garantia contratual e da garantia estendida concedidas pela fabricante do produto estão condicionadas aos termos e condições constantes no certificado de garantia.","Nome da marca TCL Número da Peça 29545 Características especiais Limpeza automática, Compressor inverter Peso 32000 Gramas Fabricante TCL Referência do fabricante 29545 ASIN B0C34BNTT8",1659.00,123579003
amazon,Ar condicionado split inverter 9000 BTUs/h Consul frio com função sono bom 220V,"Conforto no dia a diaO novo Ar-Condicionado Split Consul Inverter reúne diversas soluções bem pensadas que se adaptam à sua rotina. Além do novo design com Display Discreto, ele conta com a Função Sono Bom, que regula automaticamente a temperatura, de acordo com a sua faixa etária, para uma noite confortável de sono. Pensando no seu conforto, o produto possui funções que o deixam ainda mais silencioso. Tudo isso com redução de até 60% no consumo de energia, graças à tecnologia Inverter.Tecnologia InverterMais econômico e mais eficiente, o ar-condicionado inverter mantém o motor sempre em funcionamento, evitando o liga-desliga que acontece com os modelos convencionais para manter a temperatura escolhida. O resultado? Uma economia de até 60% de energia.Função Sono BomO seu sonho de dormir a noite inteira sem acordar morrendo de calor ou congelando de frio virou realidade. A Função Sono Bom ajusta automaticamente a temperatura do ambiente ao longo da noite, variando de acordo com sua faixa etária, e ainda reduz o consumo de energia.Função UmidadeA umidade do ar interfere diretamente no seu bem-estar, sabia? Com a Função Umidade é possível acelerar ou retardar a retirada da umidade do ar. Assim você tem todo conforto e um ambiente bem equilibrado.Função Super TurboEntrou na sua casa e tudo o que você quer é acabar com o calor ou com aquele friozinho? No modo Super Turbo, a aparelho resfria ou aquece o ambiente mais rápido. Aí a temperatura ideal chega vapt-vupt.","Nome da marca Consul Dimensões do produto 22 x 76 x 28 cm; 8 g Número da Peça CBF09DBBCJ Características especiais Resfriamento rápido, Compressor inverter Peso 8 Gramas Fabricante Consul Referência do fabricante CBF09DBBCJ ASIN B07JP8PPHF",1499.98,123579003
amazon,Ar Condicionado Split Lg 9000 Btus Dual Inverter Voice Frio 220v S4-q09aa31b,"Ar Condicionado Split LG 9000 BTUs Dual Inverter Voice Frio 220V S4-Q09AA31B O Ar Condicionado Split LG 9000 BTUs Dual Inverter Voice Frio 220V S4-Q09AA31B, é perfeito para seu sono, possui sistema de ventilação de alta precisão, oferecendo menor nível de ruído a partir de 19 decibéis. Mais silencioso que uma biblioteca! você terá em mãos um produto de alta tecnologia e performance, líder em vendas no mercado brasileiro. Com a exclusiva tecnologia Dual Inverter, o aparelho garante maior velocidade, rapidez, estabilidade e reduz a vibração e desgastes do compressor, proporcionando economia, rápida refrigeração e muito mais durabilidade. O Ar Condicionado Split LG 9000 BTUs Dual Inverter Voice Frio 220V S4-Q09AA31B ainda conta com outras vantagens, como a função Comfort Sleep, que garante o conforto térmico do ambiente durante o período de sono, e a limpeza que impede a formação de bactérias e mofo no interior do aparelho. Com 10 anos de garantia no compressor e a alta durabilidade da condensadora, você terá um produto seguro e resistente, projetado para suportar as mais difíceis condições climáticas. Especificações Técnicas: - Marca: LG - Modelo Conjunto: S4-Q09AA31B - Modelo Unidade Interna: S4NQ09AA31B.EB2GAMZ - Modelo Unidade Externa: S4UQ09AA31B.EB2GAMZ - Voltagem: 220V - Ciclo: Frio - Tipo: Split Dual Inverter Voice - Cor: Branco - Capacidade de Refrigeração (Mín/Nominal/Máx): 2.010/9.000/10.000 - Potência Refrigeração: 790W - Classificação Energética: A - Desumidificação: 0,8W - Corrente (Refrigeração): 4,5A - Consumo Anual: 363,55kWh/Ano - CCE: 3,34W/W - Gás Refrigerante: R-410A - Conexões Ø: 1/4"" - 3/8"" - Comprimento / Desnivel Max.: 15/7m - Controle Remoto Sem Fio: Sim - Conexão remota Via Wi-Fi: Sim - Comando de voz com Google Assistente e Alexa: Sim - Modo SLEEP (até 7 horas): Sim - Timer: Sim - Função ENERGY SAVING: Sim","Nome da marca LG Fabricante LG Características especiais Desumidificador, Controlado Remotamente Voltagem 220 Volts Tipo de fonte de energia Elétrico com fio Fabricante LG Dimensões da embalagem 83,7 x 53,1 x 33,2 cm; 24 Quilogramas ASIN B0CBSYWWVR EAN 8806091763440",1899.00,123579003
amazon,Ar Condicionado Split Hi Wall Inverter LG Dual Voice 9000 BTU/h Frio S4UQ09AA31B.EB2GAMZ - 220 Volts,"Ar condicionado Hi Wall LG Dual Voice Inverter 9.000 Btus Frio 220v Acesse e controle seu LG DUAL Inverter Voice de maneira remota a qualquer hora e de qualquer lugar. Com o LG ThinQ você pode controlar o seu ar-condicionado antes mesmo de chegar em casa, utilizando o comando de voz associado ao Google Assistente ou Alexa. - Tecnologia DUAL Inverter - LG ThinQ: Conectividade e comandos de voz com Google Assistente e Alexa - Até 70% de economia de energia - Refrigeração até 40% mais rápida - Super Silencioso: A partir de 19 dB - Gold Fin: Serpentina de Cobre Gold Fin - Comfort Sleep: conforto térmico durante o sono - Filtro 3M Micro Dust - Compressor DUAL Inverter: 10 anos de garantia - Segurança contra Alta Voltagem - Instalação Fácil e Rápida","Nome da marca LG Dimensões do produto 50 x 50 x 100 cm; 110 Quilogramas Número da Peça S4UQ09AA31B.EB2GAMZ Características especiais Tecnologia inverter, Instalação fácil, Conforto térmico, Conectividade e comandos de voz, Eficiência energética Voltagem 220 Volts Peso 110000 Gramas Fabricante LG Referência do fabricante S4UQ09AA31B.EB2GAMZ ASIN B0BVS5VCWP",1989.00,123579003
